"Date","Price","Open","High","Low","Change %"
"Nov 05, 2021","169.600","170.075","170.180","169.450","0.01%"
"Nov 04, 2021","169.580","169.700","170.600","169.400","0.02%"
"Nov 03, 2021","169.540","170.150","170.445","169.190","-0.20%"
"Nov 02, 2021","169.880","170.950","171.930","169.700","-0.79%"
"Nov 01, 2021","171.240","171.400","172.045","170.450","-0.18%"
"Oct 30, 2021","171.550","171.700","171.700","171.700","0.69%"
"Oct 29, 2021","170.380","171.950","172.185","170.865","-0.80%"
"Oct 28, 2021","171.750","173.225","173.235","171.400","-1.15%"
"Oct 27, 2021","173.750","175.300","175.525","172.450","-0.49%"
"Oct 26, 2021","174.600","174.650","175.535","174.200","0.17%"
"Oct 25, 2021","174.300","173.780","174.660","173.500","0.20%"
"Oct 22, 2021","173.950","173.600","174.560","173.200","0.43%"
"Oct 21, 2021","173.200","173.600","174.075","172.400","0.00%"
"Oct 20, 2021","173.200","172.625","173.670","172.350","0.55%"
"Oct 19, 2021","172.250","172.500","172.655","172.290","0.15%"
"Oct 18, 2021","172.000","170.500","173.150","170.500","0.58%"
"Oct 15, 2021","171.000","171.250","171.315","170.350","0.00%"
"Oct 14, 2021","171.000","171.125","171.325","170.500","0.15%"
"Oct 13, 2021","170.750","171.250","171.350","170.350","-0.15%"
"Oct 12, 2021","171.000","171.075","171.325","170.075","0.21%"
"Oct 11, 2021","170.650","170.875","171.075","169.950","0.23%"
"Oct 08, 2021","170.250","170.875","171.090","169.700","0.00%"
"Oct 07, 2021","170.250","171.125","171.190","169.950","-0.29%"
"Oct 06, 2021","170.750","171.000","171.215","170.290","0.15%"
"Oct 05, 2021","170.500","171.000","171.050","170.300","0.06%"
"Oct 04, 2021","170.400","170.625","171.065","170.075","0.38%"
"Oct 01, 2021","169.750","171.000","171.015","169.650","-0.44%"
"Sep 30, 2021","170.500","170.875","171.065","169.750","0.15%"
"Sep 29, 2021","170.250","170.300","171.005","169.565","0.38%"
"Sep 28, 2021","169.600","169.700","170.465","169.300","0.12%"
"Sep 27, 2021","169.400","169.450","169.845","168.725","0.30%"
"Sep 24, 2021","168.900","169.400","169.540","168.690","0.06%"
"Sep 23, 2021","168.800","169.125","169.455","168.190","0.33%"
"Sep 22, 2021","168.250","169.150","169.280","167.900","-0.03%"
"Sep 21, 2021","168.300","169.250","169.250","168.140","-0.12%"
"Sep 20, 2021","168.500","168.150","169.340","167.675","0.62%"
"Sep 17, 2021","167.460","168.150","168.215","167.200","-0.02%"
"Sep 16, 2021","167.500","169.625","169.625","166.800","-1.03%"
"Sep 15, 2021","169.250","168.200","169.690","168.200","0.80%"
"Sep 14, 2021","167.900","168.200","168.950","167.905","0.00%"
"Sep 13, 2021","167.900","167.730","168.315","167.450","0.00%"
"Sep 11, 2021","167.900","168.025","168.025","168.025","0.00%"
"Sep 10, 2021","167.900","168.000","168.215","167.115","0.24%"
"Sep 09, 2021","167.500","167.750","168.015","166.750","0.30%"
"Sep 08, 2021","167.000","168.000","168.040","166.550","-0.30%"
"Sep 07, 2021","167.500","167.100","168.055","166.895","0.48%"
"Sep 06, 2021","166.700","166.850","167.250","165.625","0.12%"
"Sep 03, 2021","166.500","167.260","167.260","166.400","-0.31%"
"Sep 02, 2021","167.020","167.000","167.315","166.125","0.31%"
"Sep 01, 2021","166.500","166.875","167.155","166.250","0.15%"
"Aug 31, 2021","166.250","165.800","166.890","165.525","0.79%"
"Aug 30, 2021","164.940","166.600","166.700","165.180","-0.46%"
"Aug 27, 2021","165.700","166.750","166.750","165.500","-0.18%"
"Aug 26, 2021","166.000","165.875","166.865","165.275","0.15%"
"Aug 25, 2021","165.750","165.375","166.325","164.850","0.61%"
"Aug 24, 2021","164.750","164.600","165.555","164.150","0.33%"
"Aug 23, 2021","164.200","164.525","164.675","163.750","0.09%"
"Aug 20, 2021","164.050","164.300","164.540","163.750","0.28%"
"Aug 19, 2021","163.600","164.300","164.465","163.835","0.00%"
"Aug 18, 2021","163.600","164.300","164.485","163.965","0.00%"
"Aug 17, 2021","163.600","164.550","164.580","163.580","-0.30%"
"Aug 16, 2021","164.100","164.300","164.565","163.560","0.31%"
"Aug 13, 2021","163.600","164.300","164.565","163.125","0.00%"
"Aug 12, 2021","163.600","164.425","164.480","163.050","-0.15%"
"Aug 11, 2021","163.850","164.250","164.525","163.285","0.21%"
"Aug 10, 2021","163.500","164.375","164.440","163.100","-0.15%"
"Aug 09, 2021","163.750","163.200","164.455","163.125","0.40%"
"Aug 06, 2021","163.100","164.200","164.200","162.525","-0.18%"
"Aug 05, 2021","163.400","163.300","164.255","161.950","-0.06%"
"Aug 04, 2021","163.500","163.800","164.450","162.950","0.52%"
"Aug 03, 2021","162.650","163.625","164.600","162.100","-0.37%"
"Aug 02, 2021","163.250","162.375","163.875","161.375","0.93%"
"Jul 30, 2021","161.750","162.250","162.730","161.575","0.15%"
"Jul 29, 2021","161.500","162.250","162.405","160.900","0.00%"
"Jul 28, 2021","161.500","161.000","162.415","160.950","0.31%"
"Jul 27, 2021","161.000","161.400","162.125","159.800","0.00%"
"Jul 26, 2021","161.000","162.375","162.600","160.050","-0.28%"
"Jul 23, 2021","161.460","160.850","162.430","160.690","0.47%"
"Jul 22, 2021","160.700","160.850","160.960","159.555","0.00%"
"Jul 21, 2021","160.700","160.850","160.975","160.800","0.00%"
"Jul 20, 2021","160.700","160.850","160.950","160.825","0.00%"
"Jul 19, 2021","160.700","159.500","161.575","159.350","1.07%"
"Jul 16, 2021","159.000","159.500","160.000","158.950","0.00%"
"Jul 15, 2021","159.000","159.250","159.500","158.450","0.32%"
"Jul 14, 2021","158.500","159.500","159.675","158.625","-0.31%"
"Jul 13, 2021","159.000","159.700","159.700","159.075","-0.25%"
"Jul 12, 2021","159.400","159.450","159.885","158.800","0.31%"
"Jul 09, 2021","158.900","159.500","159.770","158.550","-0.06%"
"Jul 08, 2021","159.000","159.150","159.815","158.365","0.44%"
